Date,Open,High,Low,Close,Volume
2020-03-11,125.81,126.41,119.8,120.08,17763400
2020-03-12,115.98,121.86,113.43,114.25,21539200
2020-03-13,117.82,122.92,113.56,122.34,20084200
2020-03-16,112.58,121.86,111.54,115.82,18877900
2020-03-17,117.11,124.6,116.44,124.44,18911800
2020-03-18,119.36,123.6,117.26,122.95,17521100
2020-03-19,122.98,122.98,114.93,115.75,18482300
2020-03-20,115.55,116.1,107.62,109.23,19785100
2020-03-23,106.59,108.01,99.45,101.25,20815200
2020-03-24,108.2,109.01,103.73,108.58,17604800
2020-03-25,108.33,112.93,106.32,108.78,13986100
2020-03-26,109.84,115.79,109.67,115.31,15066800
2020-03-27,110.83,116.27,109.85,112.2,12133200
2020-03-30,117.03,122.07,116.16,121.18,21754000
2020-03-31,122.98,123.64,118.48,119.46,15746100
2020-04-01,116.34,118.65,114.34,117.35,12606100
2020-04-02,117.63,122.08,115.9,121.31,11594500
2020-04-03,120.6,122.8,119.87,122.23,10071200
2020-04-06,124.82,128.43,123.48,127.33,14994400
2020-04-07,127.42,129.39,125.05,125.25,11567100
2020-04-08,125.5,131.31,125.09,130.52,10758200
2020-04-09,131.2,132.48,127.8,128.67,11125400
2020-04-13,127.55,128.9,125.58,127.34,8153200
2020-04-14,132.48,134.31,131.24,133.04,13838000
2020-04-15,132.6,134.75,130.77,134.52,11962300
2020-04-16,135.12,137.28,133.41,136.35,12181700
2020-04-17,138.47,138.75,136.29,138.5,10920000
2020-04-20,137.5,139.39,136.74,138.18,12226200
2020-04-21,136.76,138.15,135.35,136.36,9951100
2020-04-22,139.22,141.21,138.23,139.38,11515600
2020-04-23,140.53,143.03,140.03,141.68,10665000
2020-04-24,141.73,142.39,139.97,141.08,8653400
2020-04-27,141.04,142.17,140.3,140.56,8924000
2020-04-28,137.79,139.48,137.29,137.92,8558700
2020-04-29,137.91,138.14,135.89,136.87,9285200
2020-04-30,135.25,137.05,134.07,136.69,14829600
2020-05-01,136.31,136.35,133.73,135.1,7309000
2020-05-04,135.54,135.82,134.0,135.08,7198400
2020-05-05,135.74,137.37,135.42,136.2,6562300
2020-05-06,136.66,136.95,134.87,134.91,6191600
2020-05-07,136.08,136.23,134.04,134.46,5570500
2020-05-08,135.67,135.91,134.73,135.47,4712100
2020-05-11,135.24,136.75,134.94,135.84,5887500
2020-05-12,136.75,136.97,133.95,134.05,7039200
2020-05-13,133.08,135.7,133.02,134.04,6970500
2020-05-14,132.46,134.61,131.43,134.51,6871400
2020-05-15,134.72,137.09,132.7,137.06,10340400
2020-05-18,138.92,139.95,137.07,137.13,7388400
2020-05-19,136.75,137.66,135.2,135.76,6107300
2020-05-20,136.43,137.01,134.17,134.54,5713400
2020-05-21,135.29,135.29,132.85,133.66,6487300
2020-05-22,132.62,134.2,132.15,132.44,6140900
2020-05-26,134.11,134.34,132.37,132.61,7072300
2020-05-27,132.39,133.25,131.19,132.92,7950000
2020-05-28,133.95,135.87,133.76,134.82,6189600
2020-05-29,135.73,137.01,133.32,136.46,8504000
2020-06-01,135.12,136.08,133.94,135.03,6141800
2020-06-02,134.91,136.09,134.04,136.0,6078300
2020-06-03,136.25,136.81,134.35,136.36,6339500
2020-06-04,134.67,136.11,133.55,134.6,8170500
2020-06-05,135.48,137.27,134.48,135.13,9725400
2020-06-08,133.82,135.41,133.7,134.64,7555600
2020-06-09,136.0,136.99,133.61,133.9,8247200
2020-06-10,134.48,137.63,134.48,135.58,10137100
2020-06-11,136.3,136.84,129.12,129.23,11913300
2020-06-12,131.03,131.83,128.69,130.4,8687400
2020-06-15,129.35,130.63,127.87,129.58,8649600
2020-06-16,132.18,133.4,130.97,132.52,7579100
2020-06-17,132.92,133.4,131.61,132.12,5100100
2020-06-18,130.74,132.21,130.15,131.56,4797400
2020-06-19,133.74,133.82,131.41,131.94,12206900
2020-06-22,131.61,131.79,130.29,131.54,5285600
2020-06-23,131.86,132.17,130.89,131.05,5921600
2020-06-24,129.8,130.44,127.26,128.26,8211200
2020-06-25,128.95,128.95,126.17,128.13,7421200
2020-06-26,128.0,128.06,125.7,126.42,12849700
2020-06-29,127.27,128.15,126.58,127.55,5309800
2020-06-30,127.88,129.37,126.45,129.01,7738300
2020-07-01,129.06,129.7,128.48,128.78,6174800
2020-07-02,129.58,130.12,128.73,129.32,5152200
2020-07-06,130.42,131.89,130.15,131.16,6156400
2020-07-07,129.7,132.07,129.56,131.04,5622600
2020-07-08,131.06,131.54,129.99,131.43,6257400
2020-07-09,130.96,132.49,128.96,130.71,5738600
2020-07-10,130.95,131.06,129.74,130.6,4282400
2020-07-13,131.74,134.52,131.44,133.21,6951900
2020-07-14,133.31,136.13,133.25,135.69,7447100
2020-07-15,137.36,137.8,135.98,136.01,8512800
2020-07-16,136.39,137.0,134.56,136.91,9304700
2020-07-17,137.6,138.13,136.4,137.01,7441100
2020-07-20,137.81,137.9,136.16,137.24,6191500
2020-07-21,137.24,139.13,137.14,137.36,5575900
2020-07-22,137.54,137.98,135.63,137.61,5910200
2020-07-23,137.8,138.38,136.94,137.25,6566300
2020-07-24,138.06,138.15,134.88,135.88,5405900
2020-07-27,135.19,136.61,134.72,135.02,5675200
2020-07-28,135.22,135.76,134.62,134.69,4842200
2020-07-29,134.29,135.28,134.0,134.43,4489100
2020-07-30,135.25,135.31,134.06,134.7,5922500
2020-07-31,134.54,135.26,132.06,133.71,8259600
2020-08-03,134.29,135.58,134.07,135.17,4078700
2020-08-04,134.84,135.05,133.77,135.05,4162200
2020-08-05,136.78,136.97,135.58,136.14,5467500
2020-08-06,136.14,136.91,134.39,135.36,4837900
2020-08-07,135.32,136.36,134.99,136.32,3635100
2020-08-10,136.56,136.69,135.51,135.8,4096600
2020-08-11,136.81,136.9,134.27,134.82,6388400
2020-08-12,135.35,137.82,135.3,137.29,5257300
2020-08-13,136.26,136.86,135.34,135.77,5155500
2020-08-14,135.41,137.0,135.38,135.99,4240200
2020-08-17,136.06,137.81,135.98,136.68,4306900
2020-08-18,136.92,137.69,136.29,137.69,4322600
2020-08-19,137.22,139.05,136.98,137.96,7816300
2020-08-20,137.37,139.05,137.19,138.91,4874700
2020-08-21,139.24,140.95,138.14,140.13,6722800
2020-08-24,141.05,141.2,138.84,140.5,5387900
2020-08-25,141.09,141.35,139.94,140.42,3863500
2020-08-26,140.24,140.97,139.11,140.64,8008300
2020-08-27,140.75,141.53,140.26,141.27,5575400
2020-08-28,141.05,141.94,140.27,141.88,5395700
2020-08-31,141.29,142.58,140.61,141.67,6362700
2020-09-01,142.09,142.29,138.58,139.92,6307700
2020-09-02,139.25,142.52,137.83,142.06,6881900
2020-09-03,142.98,143.57,136.95,138.1,8672800
2020-09-04,138.68,139.4,135.87,137.22,7200100
2020-09-08,138.75,139.34,135.66,135.99,8756800
2020-09-09,136.81,139.53,136.78,138.24,6960700
2020-09-10,137.83,138.32,135.31,135.67,6191800
2020-09-11,135.79,137.16,135.41,136.47,3934700
2020-09-14,136.78,138.03,136.68,137.0,4375800
2020-09-15,138.01,139.06,137.15,137.49,3658800
2020-09-16,137.96,138.57,137.0,137.04,4323000
2020-09-17,136.71,137.25,134.87,135.91,5461400
2020-09-18,135.3,138.2,135.01,137.76,12174000
2020-09-21,136.28,136.61,132.02,133.99,7574500
2020-09-22,133.62,134.22,132.72,133.17,5295900
2020-09-23,136.19,136.26,133.33,133.38,8784400
2020-09-24,133.5,134.13,132.37,133.6,5614800
2020-09-25,132.98,135.06,132.88,134.51,5531200
2020-09-28,135.5,136.94,135.21,135.85,5843200
2020-09-29,136.3,136.6,134.88,135.8,6768600
